artist,song,comment,MIDI / PDF,lyrics
Andre Hazes,Kleine Jongen,,,"Little boy
You're in this world
So you will have to fight like me

I can know
Life is not easy
There is adversity at any time

Little boy
There are many good people
But there are bad, unfortunately it is true

You need only think
That you will soon realize
That honesty is the longest, believe me

This life passes
There is so little time, so live for you are free
But do it wisely, make people happy
Then you will truly be happy

Because life is so short
Many things are different when you get older
You're still playing with blocks but not for long
It's unfortunate but still not small

Little boy
At school, you will notice
It's all about numbers and power

So it 's life
So learn what you need to learn
Because then you know the one who laughs last

Little boy
If you later're great
Then your father might not

then tell
To your children
The wise teachings of your old man

This life passes
There is so little time, so live for you are free
But do it wisely, make people happy
Then you will truly be happy

Because life is so short
Many things are different when you get older
You're still playing with blocks but not for long
It's unfortunate but still not small

Little boy"
Andre Hazes,De Vlieger,,,"My son had birthday yesterday
He was eight years old, my darling
He asked me a kite
And he also had

To his ball, his bike, his trains
No, he looked to
Because his pilot had it all
Only I did not know why

And then the next morning, he said:
""Father, do you?
The wind is favorable
So I take my kite along ""

In his one hand a kite
In another letter
I could not understand it
But when my son said sweetly

I have a letter for my mother here
Which is high in the sky
This letter I tie on my kite
Until she receives him, I miss it

And when they read how much I love her
I can not get used to this other woman
I have a letter for my mother here
Which is high in the sky

I have a letter for my mother here
Those high in the sky
This letter I tie on my kite
Until they'm receiving, I miss it

I have a letter for my mother here
Which is high in the sky
This letter I tie on my kite
Until they'm receiving, I miss it

And when they read how much I love her
I can not get used to this other woman
I have a letter for my mother here
Which is high in the sky"
Andre Hazes,Eenzame Kerst,,,"I'm sitting here all alone celebrate Christmas
The punishment that I've earned I sit out
I shed for our family, but it still did not feel
Because you are celebrating Christmas with another
How could you forget me so quickly?
Why is there now another on my chair?
I'm so lonely here in this cold, cold cell
Can you really do not understand how I feel?
Now you're sitting at the Christmas tree with another
My children singing ""Silent Night""
Yes, it will shut 't for me certainly being
With nothing soothes my grief
My fellows got a package
The Christmas wish, ""Father, please come back home soon""
I got 'not mine, it gives me great grief
Not welcome in your own home
Perhaps I can give my children some
What issue the depths of my heart
I can not forget, so this Christmas song
A song so full of sorrow
For me it will not burn candles here
I feel like a tree without peak
I feel so alone, where I have to go soon?
In my mind I hear Christmas music
I'm sitting here all alone celebrate Christmas
The punishment that I've earned I sit out
I shed for our family, but it still did not feel
Because you are celebrating Christmas with another
Perhaps I can give my children some
What issue the depths of my heart
I can not forget, so this Christmas song
A song so full of sorrow"
Andre Hazes,Zij Gelooft In Mij,,,"[Verse 1]
She was sleeping
'K her last night early
""wait for me""
Maybe tonight I'm pretty used to
She nodded yes or
But she knows me (oh yeah)
Now I stand before you
I'm stuck back in the pub
Some night they don t, I've never enough
How was it?
That was all they asked (what she said)

[Chorus]
Because she believes in me
She sees a future for both of us
She never asks you free up even for me
Because she knows, this ignores
I write my own song
Until someone discovers me and see
That every one of my songs take
She trusts me, she believes in me

[Verse 2]
I would wait
Until the time that everyone recognizes me
And you can be proud of your own guy
On the streets they will say, You know, (oh yeah)
As long as we dream, the happiness
That somewhere on our guard
Then you forget quickly this night
You trust me, that is my strength
Oh my strength

[Chorus]
Because she believes in me
She sees a future for both of us
She never asks you free up even for me
Because she knows, this ignores
I write my own song
Until someone discovers me and see
That every one of my songs take
They trust me, they believe in me
(Ooohoohhoohooh)"
Andre Hazes,Geef Mij Je Angst,,,"You say: ""I am free"", but you mean, I'm so lonely
You feel crazy, you say, but I'm not dreaming
For those looks into your eyes say everything to me
I feel exactly as you do so you can be honest
You feel very good, you say, your mouth begins to vibrate
I think I can help you, but you have to like yourself
Each now a favor, that's all I ask
Put away that fear now, I already knew: it's my day
Give me your fear
I'll give you hope for return
Give me the night
I give you back tomorrow
As long as I do not lose
I think it really the road with you
Look at me now, no, say no, you are allowed to remain silent
'T Is still hard but I know I can get you
This never has to happen again if you stay with me tonight
Because then you will see if you think you will soon wakes up smiling
Give me a feeling
I hear it again now
I'm coming with you
Because I leave you now never go
Give me your fear
I'll give you hope for return
Give me the night
I give you back tomorrow
As long as I do not lose
I think it really the road with you
Give me a feeling
I hear it again now
I'm coming with you
Because I leave you now never go
Give me your fear
I give you dr hope for return
Give me the night
I give you back tomorrow
As long as I do not lose
I think it really the road with you
With you!
With you!
With you!"
Andre Hazes,Ik Leef Mijn Eigen Leven,,,"[Hook André Hazes]
I look back now, and yet I have no regrets
Those were great years
For what I did, I never did anyone harm them
It's my life
I live my life as I want
I surely do not meddle with another
I live my life as I want
Let me go now before I change

[Fresh 1 Sam J'Taime]
I'll take you into the life of a young man
That had to fight with no future plan
No emotion in her eyes, is not afraid of anyone
Has long been in jail since he was a man
He's since she twelfth all night long in Amsterdam
You were tilted when you arrived somewhere they route
He was abused by her mother, has already liters to bleed
Luck was really hard to find, was not firmly in her shoes
Her father was the powder, so he did not really better
No more feeling for women, she could not share feelings
Always a burden on her shoulders, yet he lives they live
Many backs in fines, he did not work so had to steal
Was not really in the books, but could gestrapt with nine
And I said, live my own life, no one stop me
Young reckless, which is itself still young at
Were they tears of books he had written a letter sah

[Hook André Hazes]
I live my life as I want
I surely do not meddle with another
I live my life as I want
Let me go now before I change

[Verse 2 Sam J'Taime]
I'll take you into the life of a young woman
A teenage mother who has entrusted rd heart early
But they never gave up, even though she was so broken
Family gescot dirty, so they became young adults
But came into the wrong hands, had nothing to strive towards
She was stubborn it was hard to give something
She stood Kinky because she did not really read books
She thought, I can not help me and child should eat
Nobody should they wish to interfere in rd one row
Her child was no shortage always walked with the latest shoes
Luck was hard to find but there is always hope
There is always a choice how you live also runs

[Hook André Hazes]
I live my life as I want
I surely do not meddle with another
I live my life as I want
Let me go now before I change"
Andre Hazes,Zeg Maar Niets Meer,,,"Say no more
I'll go away if you want
Say no more
Let me go
Now be quiet
Refr:
But this is the last time
I know you're looking down on me
But later when doing better
I hope you got state
Ah say nothing
I'll go away then you are free
Say no more
You had for months not mine
Refr:
But this is the last time
I know you're looking down on me
But if it goes better soon
I hope you got state
And then
I do not see you and say
That can get you better
You said
I'll stay loyal to you
I never believed in you
Refr:
But this is the last time
I know you're looking down on me
But if it's me better soon
I hope you got state
But then
I do not see you anymore and tell
That can get you better
You said
I'll stay loyal to you
I never believed in you
Ooooh this is the last time
I know you are looking down on me
But if it goes better strakjes
I hope you got state
No. I do not see you standing
And say you better go
You told me I remain your faithful"
Andre Hazes,"Bloed, Zweet en Tranen",,,"[Verse 1]
I have done well
But if done wrong
When I look back
On time
A laugh with tears
So I feel today
Tasted Life
So many friends unprecedented

[Chorus]
With blood, sweat and tears
I said ""Rot here now but""
With blood, sweat and tears
I said, ""Friends, friends day, the cake is""

[Verse 2]
I've known happiness
Well known sorrow
How often
I bumped my head
Yet I am satisfied
With everything I am
If your fame is over
Look who else knows

[Chorus]
With blood, sweat and tears
I said ""Rot here now but""
With blood, sweat and tears
I said, ""Friends, friends day, the cake is""

[Bridge]
I've really seen
No, I have no appetite
I'm not mad that I still miss someone soon
I keep really only
Yes, really alone
No more whining in my head, oh crap now but

[Chorus]
With blood, sweat and tears
I said ""Rot here now but""
With blood, sweat and tears
I said, ""Friends, friends day, the cake is""
With blood, sweat and tears
I said ""Rot here now but""
With blood, sweat and tears
I said, ""Friends, friends day, the cake is"""
Andre Hazes,Sorry,,,"Sorry
What I want to say you are sorry
But you go away, it's over
Yes, really over
really over
Sorry
Yes, I must go
But I'm sorry
I know it might be hard
But I'm leaving
It is too late
Silence
It scares me that great silence
You were so busy, it's over
That is over, yes really beyond
Only you know what I care about you
I have lived for your
We remain friends
you only know that I love you
But it's too late, it's over
stuff
I have so much of your stuff
Can I keep them here with me
Just for me
Just for me
letters
I have so many of your letters
I will read every day
When I see your weather
See your weather
Only you know what I care about you
I have lived for your
We remain friends
you only know that I love you
But it's too late, it's over
Only you know what I care about you
I have lived for your
We remain friends
you only know that I love you
But it's too late, it's over
(C) André Hazes"
Andre Hazes,Waar Ben Jij,,,"Lost in a bleak past

With the pain of the present

Since you're gone

Is the rain appeared here

Where are you, where are you

Part of my life

You were so sweet and tender

When I shared the love with you

It is quiet and lonely

I do not think I can handle this

Where are you, where are you

I have so much to give

Our dreams are over, it's over

Only one memory

This is never good

I must forget you

And continue living

But life without you

That hurts

You're not replacing

It makes my heart just scared

The feeling when you held me

Your voice, so soft calls my name

Where are you, where are you

You are my life

I feel the tears burning

Word hysterical desire

I miss you so, I can not stand

Our dreams are over, it's over

Only one memory

This is never good

I must forget you

And continue living

But life without you

That hurts"
